종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"002720","국제약품","8170","-50","-0.61","8210","8460","8030","855672","7051750030","157485655300","19276090"
"083420","그린케미칼","11500","0","0.00","11400","11550","11400","64545","740398250","276000000000","24000000"
"014530","극동유화","4335","40","0.93","4300","4345","4240","71679","307900565","151158935700","34869420"
"014280","금강공업","8620","-30","-0.35","8650","8730","8340","117795","1003845420","252819057340","29329357"
"014285","금강공업우","14200","-400","-2.74","14500","14500","14200","8720","124319500","8376225000","589875"
"008870","금비","71000","-2900","-3.92","74500","74500","71000","3516","252713100","71000000000","1000000"
"001570","금양","4845","-435","-8.24","5150","5180","4780","2491977","12293950885","233047872120","48100696"
"002990","금호건설","12900","50","0.39","12800","13000","12700","193911","2491109900","472577619600","36633924"
"002995","금호건설우","36050","550","1.55","35900","36050","35500","2866","102927600","10536189300","292266"
"011780","금호석유","201000","500","0.25","199500","202000","196500","137668","27523749000","6124005891000","30467691"
"011785","금호석유우","126500","1000","0.80","124500","127500","124000","26758","3383904000","382470979000","3023486"
"214330","금호에이치티","2485","-185","-6.93","2490","2575","2405","4722356","11772110100","341962336030","137610598"
"001210","금호전기","3875","65","1.71","3745","3935","3735","138166","533021365","63811566375","16467501"
"073240","금호타이어","5890","160","2.79","5750","5930","5750","451919","2648023020","1691963090430","287260287"
"092440","기신정기","4520","-15","-0.33","4510","4550","4470","22364","100566750","131984000000","29200000"
"000270","기아","82500","-3500","-4.07","85600","86100","81800","3974698","328694261400","33442476127500","405363347"
"024110","기업은행","10200","100","0.99","10150","10200","10100","768807","7812353900","7591865987400","744300587"
"013700","까뮤이앤씨","2450","120","5.15","2315","2480","2315","878115","2116079020","110623086000","45152280"
"004540","깨끗한나라","5270","50","0.96","5250","5290","5090","121098","629786600","196258452110","37240693"
"004545","깨끗한나라우","24450","-100","-0.41","24500","24500","24000","529","12951750","8952612000","366160"
"001260","남광토건","14600","200","1.39","14400","14600","14200","14636","211148550","143501954600","9828901"
"008350","남선알미늄","3760","-15","-0.40","3800","3920","3750","2880834","10984438695","414273378400","110179090"
"008355","남선알미우","35300","-450","-1.26","35900","35950","35300","5323","190004650","10868517000","307890"
"004270","남성","3525","65","1.88","3470","3580","3420","1439834","5073665965","127647864000","36212160"
