,회사명,시가총액,발행주식수,외국인비율,거래량,PER,ROE
187,코스모신소재,"14,743","30,087",7.63,"1,473,829",77.65,7.16
188,SK가스,"14,630","9,230",6.41,"51,262",5.91,14.91
189,KODEX,0,"14,608","14,154",0.00,"3,854,550",N/A
190,F&F홀딩스,"14,531","39,114",0.71,"61,408",0.27,16.59
191,신세계인터내셔날,"14,458","7,140",5.23,"24,816",19.94,8.24
192,롯데관광개발,"14,444","69,276",6.69,"639,303",-9.24,-30.43
193,종근당,"14,225","11,426",8.02,"18,769",16.71,17.88
194,KODEX,0,"14,080","12,882",0.00,"1,721",N/A
195,LG생활건강우,"14,068","2,100",84.47,"4,921",14.07,N/A
196,롯데칠성,"14,058","9,279",8.61,"27,402",61.71,-1.00
197,에스엘,"13,738","48,203",17.10,"79,798",9.02,4.74
198,태광산업,"13,673","1,113",6.56,"1,658",6.90,3.26
199,SK네트웍스,"13,576","248,188",12.86,"388,108",37.21,1.63
200,롯데리츠,"13,533","242,969",10.15,"268,218",70.51,1.68
201,NHN,"13,461","19,565",12.08,"30,983",61.43,1.35
202,한일시멘트,"13,437","69,262",2.42,"340,494",11.16,N/A
203,영풍,"13,410","1,842",4.59,"1,477",8.74,4.03
204,넥스트사이언스,"13,083","41,666",6.25,"1,652,811",-32.95,-41.41
205,효성화학,"12,808","3,190",9.81,"43,700",14.39,-2.71
206,TIGER,0,"12,776","91,850",0.25,"176,838",N/A
207,세방전지,"12,684","14,000",25.27,"111,592",16.79,6.14
208,유니드,"12,490","8,890",12.93,"139,476",7.14,10.29
209,지누스,"12,293","15,800",22.55,"168,033",32.50,11.61
210,KODEX,0,"12,292","90,750",0.02,"26,962",N/A
211,하나투어,"12,239","13,939",8.37,"198,277",-7.13,-108.93
212,한올바이오파마,"12,172","52,241",4.69,"257,761",68.53,12.29
213,TIGER,0,"12,122","15,000",0.01,"114,386",N/A
214,KCC글라스,"12,090","15,971",9.73,"84,150",5.52,N/A
215,LG전자우,"12,082","17,186",41.32,"21,735",8.51,N/A
216,CJ,500,"12,050","37,135",7.57,"579,039",-1.87
217,이노션,"11,980","20,000",30.23,"28,360",18.24,8.28
218,보령제약,"11,849","68,690",6.27,"530,551",37.91,8.62
219,LX인터내셔널,"11,725","38,760",24.91,"468,378",6.77,23.72
220,다우기술,"11,643","44,867",21.89,"91,100",3.08,18.85
221,휴켐스,"11,385","40,879",7.17,"1,451,181",17.94,7.51
222,티와이홀딩스,"11,348","40,172",6.36,"158,249",2.29,N/A
223,코리안리,"11,267","120,369",30.56,"193,132",8.15,5.78
224,LIG넥스원,"11,176","22,000",7.49,"145,338",16.71,8.86
225,KODEX,0,"11,137","286,300",1.58,"32,885,985",N/A
226,동양생명,"11,021","161,359",82.59,"448,259",5.82,4.52
227,KODEX,20,+0.15%,0,"10,998","83,000",0.09
228,한국콜마,"10,994","22,881",26.34,"69,585",6.68,29.27
229,더블유게임즈,"10,988","18,375",9.17,"62,127",8.72,16.94
230,미원상사,"10,909","4,970",4.14,"5,990",18.60,21.07
