,시가,종목코드,종목명,중분류,소분류,PBR,EPS,ROE,EV/EBITDA,업종PER,적정가격,시가/적정가격,RANK_평가,RANK_EV/EBITDA,RANK_ROE,VALUE_SCORE
133,54500.0,034120,SBS,미디어,방송과엔터테인먼트,1.6,-3686.0,-12.32,5.11,-26.38,97236.68,0.5604880791898695,75.0,55.0,260.0,0.5273775216138329
134,38050.0,051600,한전KPS,유틸리티,전기유틸리티,1.74,1935.0,8.23,7.49,14.94,28908.899999999998,1.3162036604644245,166.0,112.0,112.5,0.5266570605187321
135,9440.0,097230,한진중공업,자본재,건설,3.1,940.0,27.71,16.51,6.96,6542.4,1.442895573489851,177.0,208.0,8.0,0.5230547550432277
136,34750.0,103140,풍산,소재,비철금속,0.59,2565.0,5.09,6.53,12.35,31677.75,1.0969844764858616,143.0,89.0,162.5,0.5208933717579252
137,93600.0,003550,LG,자본재,복합기업,0.71,8334.0,7.5,8.49,10.72,89340.48000000001,1.0476773798394634,137.0,132.0,126.5,0.5194524495677234
138,121500.0,004800,효성,자본재,복합기업,0.86,-2504.0,-2.26,9.4,10.72,-26842.88,-4.526339945639216,7.0,151.0,240.0,0.5158501440922192
139,269500.0,068270,셀트리온,제약과생물공학,제약,7.49,3717.0,16.68,55.66,90.87,337763.79000000004,0.7978948838772799,104.0,260.0,34.0,0.5158501440922192
140,75300.0,005930,삼성전자,반도체와반도체장비,반도체와반도체장비,1.73,3841.0,9.99,8.33,13.18,50624.38,1.487425623780479,186.0,125.0,88.0,0.5144092219020173
141,308500.0,014680,한솔케미칼,소재,화학,5.87,10864.0,24.5,12.46,15.32,166436.48,1.8535599887716923,209.0,186.0,12.0,0.5028818443804036
142,34100.0,000080,하이트진로,"식품,음료,담배",음료,2.26,1216.0,8.23,8.54,21.75,26448.0,1.2893224440411373,162.0,133.0,112.5,0.5021613832853027
143,7900.0,175330,JB금융지주,은행,은행,0.44,1845.0,10.06,17.92,4.87,8985.15,0.8792285048107155,110.0,215.0,86.0,0.49711815561959655
144,27700.0,042660,대우조선해양,자본재,조선,1.05,807.0,2.27,14.79,-6.54,-5277.78,-5.248418842771014,5.0,198.0,208.0,0.49711815561959655
145,1113000.0,003240,태광산업,소재,화학,0.23,95038.0,3.26,7.66,15.32,1455982.16,0.7644324433205968,100.0,115.0,196.5,0.4963976945244957
146,52600.0,004020,현대제철,소재,철강,0.34,-3222.0,-2.59,10.12,9.08,-29255.760000000002,-1.7979365430944196,14.0,161.5,243.0,0.48631123919308356
147,12800.0,068400,SK렌터카,운송,도로와철도운송,1.15,470.0,4.5,4.99,17.99,8455.3,1.5138433881707334,189.0,54.0,177.0,0.484149855907781
148,90000.0,007690,국도화학,소재,화학,0.77,4058.0,5.54,6.25,15.32,62168.56,1.4476770895127697,181.0,83.0,157.0,0.4827089337175792
149,4810.0,085620,미래에셋생명,보험,생명보험,0.34,403.0,3.45,3.36,7.01,2825.0299999999997,1.7026367861580232,201.0,28.0,192.0,0.4827089337175792
150,90600.0,145720,덴티움,건강관리장비와서비스,건강관리장비와용품,2.36,2037.0,10.34,11.67,35.06,71417.22,1.268601606167252,158.0,182.0,82.0,0.4812680115273776
151,39350.0,016710,대성홀딩스,유틸리티,가스유틸리티,1.53,2649.0,9.73,10.19,10.97,29059.530000000002,1.3541168766322096,170.0,164.0,91.0,0.47694524495677243
152,37450.0,036460,한국가스공사,유틸리티,가스유틸리티,0.48,-1864.0,-2.24,10.6,10.97,-20448.08,-1.8314677955094072,13.0,173.0,239.0,0.47694524495677243
153,78500.0,170900,동아에스티,제약과생물공학,제약,0.96,3210.0,4.21,13.86,90.87,291692.7,0.2691188363644342,56.0,194.0,178.0,0.47262247838616717
154,37900.0,011200,HMM,운송,해운사,2.09,384.0,8.92,6.06,19.63,7537.92,5.0279122092036,253.0,75.0,101.0,0.4711815561959654
155,93200.0,004490,세방전지,자동차와부품,자동차부품,0.95,4733.0,6.13,7.57,15.19,71894.27,1.296348095613183,164.0,114.0,151.0,0.4711815561959654
156,79200.0,013890,지누스,자본재,가구,2.69,2898.0,11.61,14.64,20.91,60597.18,1.3069915134664682,165.0,196.0,69.0,0.46974063400576366
157,23600.0,009420,한올바이오파마,제약과생물공학,제약,6.43,378.0,12.29,221.87,90.87,34348.86,0.6870679259806585,89.0,277.0,66.0,0.46685878962536026
